Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,,NYK,W,120,111,42,83,.506,7,21,.333,29,36,.806,10,51,22,6,5,21,18,,44,94,.468,10,30,.333,13,18,.722,5,39,24,16,1,14,32
2,2,2019-10-26,,WAS,W,124,122,50,108,.463,10,28,.357,14,17,.824,21,53,29,6,7,9,19,,47,95,.495,16,34,.471,12,17,.706,8,41,30,3,8,12,15
3,3,2019-10-28,,POR,W,113,110,41,85,.482,7,22,.318,24,32,.750,7,50,25,5,9,18,19,,39,100,.390,10,33,.303,22,27,.815,9,49,19,4,8,10,27
4,4,2019-10-31,@,LAC,L,97,103,36,80,.450,7,21,.333,18,27,.667,9,49,15,6,5,19,28,,39,91,.429,5,26,.192,20,27,.741,11,47,16,9,1,11,23
5,5,2019-11-01,@,GSW,W,127,110,44,93,.473,13,35,.371,26,30,.867,16,52,23,4,2,11,19,,39,84,.464,13,28,.464,19,21,.905,7,39,25,4,2,11,22
6,6,2019-11-03,,LAL,L,96,103,33,83,.398,6,25,.240,24,29,.828,8,47,23,11,4,17,18,,42,87,.483,6,24,.250,13,19,.684,7,46,21,8,10,18,22
7,7,2019-11-05,@,ATL,L,100,108,38,91,.418,8,33,.242,16,23,.696,11,41,18,9,8,15,17,,43,90,.478,11,30,.367,11,16,.688,9,48,22,9,5,18,20
8,8,2019-11-07,,OKC,W,121,112,51,94,.543,9,20,.450,10,11,.909,12,47,32,5,3,13,21,,42,80,.525,10,21,.476,18,24,.750,4,31,26,7,2,13,14
9,9,2019-11-09,,BOS,L,115,135,39,99,.394,14,30,.467,23,30,.767,21,57,24,1,8,15,22,,48,94,.511,14,37,.378,25,28,.893,7,43,28,11,11,8,25
10,10,2019-11-11,,MEM,L,109,113,42,90,.467,12,30,.400,13,17,.765,7,42,29,4,4,13,17,,44,87,.506,11,28,.393,14,20,.700,9,47,32,7,5,11,20
11,11,2019-11-13,@,MIN,L,114,129,44,90,.489,3,17,.176,23,29,.793,10,44,24,4,4,11,23,,45,91,.495,11,34,.324,28,34,.824,13,50,25,11,4,10,25
12,12,2019-11-15,@,ORL,L,109,111,45,89,.506,13,26,.500,6,10,.600,8,41,23,8,8,11,25,,36,87,.414,12,29,.414,27,34,.794,14,48,22,6,5,10,13
13,13,2019-11-16,,POR,L,116,121,41,88,.466,5,18,.278,29,34,.853,7,43,25,8,7,10,17,,42,93,.452,13,39,.333,24,26,.923,9,48,21,2,4,12,20
14,14,2019-11-18,@,DAL,L,110,117,44,96,.458,8,24,.333,14,16,.875,17,48,18,6,2,9,18,,42,84,.500,17,41,.415,16,23,.696,9,41,28,4,3,13,19
15,15,2019-11-20,@,WAS,L,132,138,49,93,.527,12,32,.375,22,29,.759,12,41,32,8,8,12,13,,54,92,.587,18,30,.600,12,15,.800,6,38,37,4,3,17,20
16,16,2019-11-22,@,PHI,L,104,115,43,85,.506,6,18,.333,12,16,.750,3,32,21,6,3,11,15,,46,89,.517,10,26,.385,13,19,.684,13,51,32,8,4,15,21
17,17,2019-11-23,@,NYK,W,111,104,40,75,.533,12,23,.522,19,28,.679,9,47,26,7,3,22,17,,40,93,.430,15,40,.375,9,15,.600,10,37,30,12,3,11,22
18,18,2019-11-25,,LAL,L,104,114,41,88,.466,10,25,.400,12,15,.800,9,41,23,4,5,13,22,,44,89,.494,14,33,.424,12,18,.667,10,40,28,7,6,9,18
19,19,2019-11-27,,MIN,L,101,113,41,97,.423,5,29,.172,14,17,.824,8,46,25,4,8,6,18,,37,85,.435,18,40,.450,21,27,.778,7,53,28,4,6,11,19
20,20,2019-11-29,,LAC,W,107,97,40,93,.430,14,36,.389,13,14,.929,8,48,28,8,8,9,15,,36,92,.391,12,33,.364,13,13,1.000,9,48,23,6,5,14,17
21,21,2019-12-01,@,DET,L,98,132,36,88,.409,7,26,.269,19,22,.864,7,31,20,11,6,8,15,,52,88,.591,15,31,.484,13,18,.722,11,50,33,5,5,15,14
