Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2019-10-23,@,POR,W,108,100,108.1,100.1,99.9,.333,.395,.581,48.4,70.6,11.0,6.8,,.531,17.0,23.9,.272,,.454,17.1,72.3,.241
2,2,2019-10-25,,PHO,W,108,107,100.4,99.5,97.4,.391,.293,.501,45.5,58.3,6.5,20.7,,.429,11.5,15.4,.315,,.442,14.5,78.7,.360
3,3,2019-10-28,@,SAC,W,101,94,109.8,102.2,92.0,.214,.367,.471,52.9,52.8,8.7,9.3,,.418,8.5,36.5,.194,,.462,10.9,70.0,.110
4,4,2019-10-29,,DAL,L,106,109,116.4,119.7,91.1,.143,.352,.548,54.3,55.8,6.6,2.1,,.533,9.4,30.4,.099,,.565,7.8,78.3,.167
5,5,2019-10-31,@,NOP,L,107,122,104.1,118.7,102.8,.180,.292,.557,48.6,55.8,4.9,6.8,,.522,12.7,12.5,.157,,.630,14.1,93.8,.325
6,6,2019-11-02,@,ORL,W,91,87,97.2,92.9,93.6,.534,.384,.505,46.6,55.6,8.5,5.3,,.432,12.6,15.9,.384,,.465,14.2,77.3,.081
7,7,2019-11-05,,MIA,W,109,89,110.5,90.2,98.6,.186,.267,.586,51.6,77.8,10.1,5.1,,.576,17.0,22.5,.116,,.415,11.6,74.5,.182
8,8,2019-11-08,,PHI,W,100,97,103.6,100.5,96.5,.195,.253,.529,45.6,71.8,10.4,18.3,,.500,9.6,15.6,.149,,.517,15.4,75.6,.093
9,9,2019-11-10,@,MIN,W,100,98,93.2,91.3,97.2,.168,.277,.461,51.8,66.7,5.6,7.7,,.441,15.6,26.9,.109,,.381,9.7,74.1,.247
10,10,2019-11-12,,ATL,L,121,125,123.6,127.6,97.9,.212,.394,.532,47.1,67.4,7.1,10.2,,.495,2.6,30.0,.173,,.620,12.5,71.4,.265
11,11,2019-11-14,,BRK,W,101,93,102.3,94.2,98.7,.099,.327,.479,54.9,60.5,4.1,5.3,,.475,6.2,24.1,.050,,.421,6.4,87.3,.137
12,12,2019-11-17,@,MEM,W,131,114,128.8,112.1,101.7,.258,.360,.661,46.4,73.5,9.8,20.8,,.652,10.8,14.3,.169,,.560,14.5,78.6,.238
13,13,2019-11-20,,HOU,W,105,95,108.5,98.2,96.8,.160,.287,.522,52.7,65.9,13.4,10.5,,.516,12.2,30.6,.085,,.500,18.7,78.6,.250
14,14,2019-11-22,,BOS,W,96,92,99.6,95.5,96.4,.148,.318,.512,54.5,61.5,7.3,9.3,,.483,15.4,23.9,.125,,.451,10.8,88.1,.235
15,15,2019-11-24,,PHO,W,116,104,128.2,114.9,90.5,.253,.341,.574,59.1,55.8,4.4,4.3,,.549,9.0,39.6,.176,,.573,12.1,82.5,.122
16,16,2019-11-26,,WAS,W,117,104,107.4,95.5,108.9,.256,.267,.584,61.7,66.0,7.3,10.9,,.556,16.7,24.4,.189,,.474,10.3,90.6,.147
17,17,2019-11-30,@,SAC,L,97,100,95.4,98.4,92.1,.241,.368,.504,49.0,63.9,10.8,7.9,,.477,14.3,19.6,.161,,.427,11.7,75.0,.188
18,18,2019-12-03,,LAL,L,96,105,97.7,106.9,98.2,.187,.319,.487,38.5,70.3,9.2,6.7,,.440,10.0,14.3,.176,,.506,14.1,66.7,.238
19,19,2019-12-05,@,NYK,W,129,92,130.6,93.1,98.8,.207,.448,.680,59.3,77.6,8.1,10.2,,.684,12.0,24.3,.115,,.464,13.1,88.6,.181
20,20,2019-12-06,@,BOS,L,95,108,99.2,112.7,95.8,.160,.319,.472,52.6,46.2,5.2,8.5,,.441,10.7,26.7,.128,,.616,14.9,87.9,.085
21,21,2019-12-08,@,BRK,L,102,105,106.0,109.1,96.2,.157,.472,.536,43.5,69.4,4.2,8.5,,.506,11.2,15.6,.135,,.500,10.2,75.0,.207
22,22,2019-12-10,@,PHI,L,92,97,95.7,100.9,96.1,.141,.318,.510,43.7,78.4,12.5,17.0,,.476,12.6,11.9,.129,,.483,13.5,73.3,.124
23,23,2019-12-12,,POR,W,114,99,127.8,111.0,89.2,.216,.409,.592,57.8,59.5,6.7,3.6,,.580,9.4,34.9,.136,,.529,8.1,82.5,.093
24,24,2019-12-14,,OKC,W,110,102,112.6,104.4,97.7,.271,.318,.578,54.3,69.8,6.1,5.2,,.547,13.6,25.0,.200,,.506,14.1,82.9,.247
25,25,2019-12-15,,NYK,W,111,105,120.2,113.7,92.4,.202,.298,.542,50.5,61.4,5.4,9.7,,.521,8.1,34.0,.138,,.511,10.1,68.9,.096
26,26,2019-12-18,,ORL,W,113,104,117.1,107.8,96.5,.298,.321,.595,59.8,70.0,8.3,5.2,,.542,15.2,34.1,.262,,.489,11.1,82.6,.218
27,27,2019-12-20,,MIN,W,109,100,114.1,104.7,95.6,.135,.315,.578,48.9,61.4,9.4,11.1,,.551,13.7,25.0,.124,,.471,12.4,68.0,.207
28,28,2019-12-22,@,LAL,W,128,104,138.7,112.7,92.3,.326,.348,.608,49.4,68.9,14.1,3.7,,.549,7.1,38.6,.293,,.530,17.0,60.0,.193
